date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:59:26	62428/62428	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2017:52:30%20GMT	https://www.gstatic.com/charts/loader.js	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/www.gstatic.com/charts/loader.js	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:27	181300/181300	---M--	200	added ('OK')	image/png	etag:%22va1a%22	https://1.bp.blogspot.com/-a4w6zJPjI9I/XbkQvkNLqMI/AAAAAAAAChc/AH01N0KGkVcqFTCaAr2lgI-cpMjlrr6AQCLcBGAsYHQ/w640/Capture.PNG	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/1.bp.blogspot.com/-a4w6zJPjI9I/XbkQvkNLqMI/AAAAAAAAChc/AH01N0KGkVcqFTCaAr2lgI-cpMjlrr6AQCLcBGAsYHQ/w640/Capture.PNG	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:28	313784/313784	---M--	200	added ('OK')	image/jpeg	etag:%22v175b%22	https://1.bp.blogspot.com/-qFtdz79K83k/XlHocOc3ZMI/AAAAAAAAF1o/cWtjnMrLs24R1l1aSoZDOEgT_bOZICAtQCLcBGAsYHQ/s1600/IMG_20200223_063701.jpg	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/1.bp.blogspot.com/-qFtdz79K83k/XlHocOc3ZMI/AAAAAAAAF1o/cWtjnMrLs24R1l1aSoZDOEgT_bOZICAtQCLcBGAsYHQ/s1600/IMG_20200223_063701.jpg	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:28	8981/8981	---M--	200	added ('OK')	image/jpeg	etag:%22v4d74%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhyB-N0Vp7nXvxx7b3RkSGk294KkWDynOVia8RGXdDuZ2TEFCCZUp8cbiABlY1a9_YHnMbyeW4Slk2M-BNecg0ylkuwafkvKXd1XS1vAgsG13oX5h5r9uaWMdky-gzIYCpPZ3VKI0V4TgiT07WtnxVen_C4-XBsiEHJImY4_ZHn_BoQl3jXeQI_U5G4/w100/IMG_20220516_230159.jpg	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhyB-N0Vp7nXvxx7b3RkSGk294KkWDynOVia8RGXdD/w100/IMG_20220516_230159.jpg	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:28	6119/6119	---M--	200	added ('OK')	image/jpeg	etag:%22v4668%22	https://1.bp.blogspot.com/-ANoIKsZvjBY/YNnD4Ij9NPI/AAAAAAAARmc/ZLXfFF97LkEfLmRYT8PFJMPOb75jmcscgCLcBGAsYHQ/w100/IMG_20210628_204244.jpg	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/1.bp.blogspot.com/-ANoIKsZvjBY/YNnD4Ij9NPI/AAAAAAAARmc/ZLXfFF97LkEfLmRYT8PFJMPOb75jmcscgCLcBGAsYHQ/w100/IMG_20210628_204244.jpg	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:29	4909/4909	---M--	200	added ('OK')	image/jpeg	etag:%22v4933%22	https://1.bp.blogspot.com/-ogwC7P7s4As/YUXSfKD5rrI/AAAAAAAASTI/lsz-ZYNYEmot0Rqf4LjBvfTLdrMWqUaSwCLcBGAsYHQ/w100/e0799d9449046bf7648d2eaf6e85936d.jpg	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/1.bp.blogspot.com/-ogwC7P7s4As/YUXSfKD5rrI/AAAAAAAASTI/lsz-ZYNYEmot0Rqf4LjBvfTLdrMWqUaSwCLcBGAsYHQ/w100/e0799d9449046bf7648d2eaf6e85936d.jpg	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:29	6166/6166	---M--	200	added ('OK')	image/jpeg	etag:%22v4836%22	https://1.bp.blogspot.com/-PT4jNfh7t2c/YSZiGe5-pFI/AAAAAAAASDU/afTN2B4UyNwg-ABb9ynHrgAEENApNBhNwCLcBGAsYHQ/w100/IMG_20210825_233013.jpg	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/1.bp.blogspot.com/-PT4jNfh7t2c/YSZiGe5-pFI/AAAAAAAASDU/afTN2B4UyNwg-ABb9ynHrgAEENApNBhNwCLcBGAsYHQ/w100/IMG_20210825_233013.jpg	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:30	6094/6094	---M--	200	added ('OK')	image/jpeg	etag:%22v51a2%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhl6Ub55HOcbfgIWPsqtMskh0v_Oyo3gL4Dw8rqbbLSZdAIfs8iq2NVAKeF0RaHWn8Z7mW9xLIcYoHNsn9mi8ATCnObFvRlkfB16HqGdEC9rVX3xrcp1xpeyjRckC1klKZdKWTKSDlJL_E0X2-5flTpKvookYMiSCKSA5X4_2bxtkGZm-0tO3yU1iSN6Fg/w100/IMG_20240204_224636.jpg	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhl6Ub55HOcbfgIWPsqtMskh0v_Oyo3gL4Dw8rqbbL/w100/IMG_20240204_224636.jpg	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:30	5493/5493	---M--	200	added ('OK')	image/jpeg	etag:%22v16cb%22	https://1.bp.blogspot.com/-UFXE-Xrebng/XkyzMqLypzI/AAAAAAAAFso/0bFCmg7KH0MNuYoFpWCG4EpSqyHLRK0cACLcBGAsYHQ/w100/IMG_20200219_120055.JPG	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/1.bp.blogspot.com/-UFXE-Xrebng/XkyzMqLypzI/AAAAAAAAFso/0bFCmg7KH0MNuYoFpWCG4EpSqyHLRK0cACLcBGAsYHQ/w100/IMG_20200219_120055.JPG	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:31	4497/4497	---M--	200	added ('OK')	image/png	etag:%22vcf3%22	https://1.bp.blogspot.com/-Lp5NRDfzsIY/XdupSoFDudI/AAAAAAAADPI/wXCqQ1LArfo_5frew39LSX03LFFzEIrQQCLcBGAsYHQ/w100/Capture.PNG	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/1.bp.blogspot.com/-Lp5NRDfzsIY/XdupSoFDudI/AAAAAAAADPI/wXCqQ1LArfo_5frew39LSX03LFFzEIrQQCLcBGAsYHQ/w100/Capture.PNG	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:32	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:34	142995/142995	---M--	200	added ('OK')	text/javascript	date:Thu,%2016%20May%202024%2004:54:42%20GMT	https://www.blogger.com/static/v1/widgets/523887051-widgets.js	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/www.blogger.com/static/v1/widgets/523887051-widgets.js	(from https://www.mywilayah.com/2023/01/biodata-datuk-dr-ustazah-norhafizah-musa.html)
01:59:36	215518/215518	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20May%202024%2012:47:17%20GMT	https://www.mywilayah.com/2023/01/biodata-ustaz-ahmad-dusuki-abdul-rani.html	C:/Ustazah%20Norhafizah%20Musa%20(ICM561)/Biodata%20lengkap/www.mywilayah.com/2023/01/biodata-ustaz-ahmad-dusuki-abdul-rani.html	(from https://www.mywilayah.com/2023/01/biodata-ustaz-ahmad-dusuki-abdul-rani.html?m=1)
